chr	start	end	length	summit	tags	X.10.log10.pvalue.	fold_enrichment	FDR...
chr3	179584381	179584987	607	177	11	50.71	9.19	NA
chr4	163405047	163405425	379	189	7	64.2	22	0.77
chr7	72657437	72658247	811	241	19	81.36	8.15	0.91
chr17	47813522	47813967	446	184	7	50.24	12.3	NA
chr19	17019713	17020403	691	501	10	51.25	11.12	NA
chr2	112229859	112230262	404	203	8	56.88	14.85	NA
chr10	69646478	69646970	493	313	7	56.06	17.74	0.84
chr22	21699160	21699710	551	365	7	58.69	17.96	0.79
chrX	119427920	119428427	508	197	7	50.24	14.01	NA
chr11	12358590	12358928	339	169	7	53.91	11.93	0.91
chr10	23293727	23294379	653	446	8	50.61	9.19	NA
chr16	19008911	19009452	542	178	8	53.74	10.45	NA
chr11	71999828	72000241	414	242	8	79.93	25.14	0.83
chr17	38168330	38169125	796	363	11	57.63	15.91	NA
chr7	56124436	56124960	525	314	11	88.99	20.68	NA
chr22	26998729	26999306	578	216	10	72.04	17.51	NA
chr11	108369506	108370050	545	349	7	50.52	13.7	0.97
chr1	247012833	247013232	400	200	9	69.75	18.1	0.61
chr4	57030170	57030662	493	181	7	50.52	14.87	0.97
chr2	85878694	85879282	589	288	7	54.39	16.76	0.86
chr8	57064347	57064991	645	474	10	80.87	22.7	0.83
chr18	60283518	60284080	563	167	10	51.62	9.91	0.98
chr14	19009999	19010720	722	547	118	90.28	6.43	1
chr4	123592232	123592745	514	168	8	59.23	15.08	0.79
chr17	6492901	6493361	461	211	7	50.24	10.59	NA
chr1	201432452	201432945	494	338	8	60.21	12.42	0.74
chr5	25353549	25354499	951	468	23	91.86	10.49	NA
chr21	41376711	41377162	452	162	8	60.21	13.63	0.74
chr10	135193549	135194110	562	159	8	51.28	8.74	0.98
chr2	165659676	165660060	385	192	10	106.7	36.32	1.94
chr1	18733754	18734314	561	405	7	50.52	14.1	0.97
chr3	181501405	181501917	513	333	11	91.78	18.05	1.01
chr15	44748091	44748538	448	246	9	74.71	17.6	0.72
chr17	64850164	64850608	445	267	8	50.18	11.73	0.97
chr3	50293565	50294504	940	683	16	95.98	16.76	1.24
chr1	6780373	6780997	625	429	11	70.72	16.09	0.68
chr11	60722310	60723055	746	403	14	55.49	6.89	NA
chr16	47690030	47690397	368	185	7	84.74	28.08	NA
chr3	42881399	42881811	413	207	8	64.41	18.38	NA
chr17	73738304	73739104	801	267	11	54.12	13.13	NA
chr7	72886499	72887134	636	426	14	55.22	8.77	NA
chr19	479390	480356	967	608	15	62.85	9.19	NA
chr1	223554052	223554581	530	360	7	50.24	12.18	NA
chr19	55642648	55643120	473	316	7	55.56	11.17	0.86
chr2	160150507	160150819	313	156	10	55.46	7.87	0.85
chr6	108379579	108380048	470	218	12	135.66	40.11	NA
chr7	66659861	66660350	490	334	7	60.23	20.11	0.79
chr21	45158341	45159044	704	246	12	57.42	9.19	NA
chr17	12142123	12142576	454	256	10	95.08	28.28	1.31
chr12	111535820	111536662	843	508	13	55.22	10.33	NA
chr4	74053898	74054391	494	220	7	50.24	13.62	NA
chr17	41107403	41107930	528	362	12	82.37	13.13	NA
chr5	37022195	37022565	371	186	9	90.79	22.98	NA
chr14	89037667	89038455	789	465	11	91.33	25.38	NA
chr19	55988686	55989638	953	457	17	103.53	17.24	NA
chrX	73187260	73187705	446	145	7	65.84	18.16	0.71
chr16	68160728	68161185	458	216	7	70.84	24.07	NA
chr1	72383088	72383669	582	167	8	54.89	12.57	0.85
chr3	65290871	65291616	746	399	12	101.35	21.79	1.55
chr17	4396192	4396640	449	265	7	57.21	16.76	0.81
chr7	129241408	129242063	656	201	10	66.64	15.32	NA
chr8	105375364	105376057	694	485	11	92.72	22.98	NA
chr8	48921895	48922221	327	164	7	60.45	11.09	NA
chr22	47339473	47339954	482	276	8	59.45	15.32	NA
chr7	5545814	5546438	625	216	11	52.8	12.42	NA
chr13	77761699	77762182	484	158	7	63.2	18.16	0.78
chr9	6582021	6582849	829	425	15	106.11	17.6	1.87
chr5	1430193	1430994	802	506	13	51.97	8.04	NA
chr11	64532961	64533474	514	199	7	50.52	12.92	0.95
chr21	42055751	42056309	559	218	7	50.24	15.42	NA
chr12	107211163	107211704	542	359	10	80.87	19.07	0.83
chr3	161238645	161239047	403	201	7	60.41	19.55	0.8
chr17	3680122	3680663	542	281	14	67.79	10.11	NA
chr17	20455343	20455801	459	191	10	51.62	9.23	0.97
chr2	196378101	196378811	711	519	11	59.14	14.71	NA
chr3	194245019	194245449	431	268	7	55.17	12.57	0.84
chr16	14626541	14627285	745	509	11	54.27	10.72	NA
chr2	236773772	236774222	451	251	8	59.88	14.51	NA
chr11	67551724	67552171	448	168	7	50.24	12.35	NA
chr10	54421011	54421536	526	249	7	60.53	14.53	0.8
chr11	121028043	121028655	613	198	10	51.25	11.27	NA
chr10	27600469	27601208	740	354	12	82.79	17.6	0.92
chr12	83275694	83276252	559	296	8	69.37	21.79	0.65
chr14	63851416	63851824	409	209	9	70.34	16.45	0.64
chr4	185478067	185478514	448	299	7	58.8	16.22	NA
chr14	51818623	51819136	514	341	7	50.52	12.92	0.95
chr3	179394999	179395365	367	183	7	68.9	25.42	0.61
chr6	90496197	90496532	336	168	7	53.32	11.73	0.94
chr3	48664669	48665218	550	301	8	50.25	11.49	NA
chr16	17028641	17029305	665	407	12	107.4	29.05	2.05
chr14	101874985	101876019	1035	571	13	74.1	13.79	NA
chr12	42519772	42520228	457	260	7	53.33	15.08	0.96
chr9	135276277	135277082	806	298	12	73.73	16	0.72
chr14	104160631	104161383	753	182	11	60.5	11.6	0.8
chr3	85070344	85071044	701	413	8	59.88	19.33	NA
chr11	107900936	107901419	484	287	7	51.54	12.57	0.97
chr12	130291640	130292042	403	201	7	50.3	14.18	0.97
chr21	41159981	41160669	689	191	9	59.49	18.79	100
chr6	118954241	118954912	672	336	10	80.87	23.65	0.83
chr10	70228566	70229168	603	226	10	72.72	17.6	0.69
chr22	46914023	46914630	608	424	9	51.27	11.17	0.98
chr14	61232829	61233495	667	481	10	80.46	21.46	NA
chr4	74134806	74135475	670	418	9	58.57	13.79	NA
chr10	7869332	7869993	662	176	10	78.36	15.71	0.76
chr5	120189408	120189950	543	325	8	56.98	16.09	NA
chr1	11542794	11543378	585	312	8	59.88	16.13	NA
chr1	9413700	9414272	573	159	8	55.43	12.57	0.85
chr12	131218246	131219043	798	602	12	58.77	10.72	NA
chr1	29032216	29033010	795	333	11	59.42	14.71	NA
chr2	187827920	187828577	658	291	11	78.27	20.68	NA
chr11	28235164	28235576	413	214	10	71.56	15.08	0.64
chr4	173579304	173579706	403	201	9	78.66	22.62	0.77
chr12	80194469	80194868	400	200	8	81.06	29.05	0.84
chr11	26134912	26135581	670	472	12	103.04	23.58	1.57
chr9	88771969	88772469	501	371	8	50.17	13.79	NA
chr8	146115421	146115783	363	182	7	65.63	22.99	NA
chr6	140093330	140093770	441	169	7	54.45	15.08	0.86
